Accepted by Customer,Принято клиентом
Actualize Fiscal Status,Актуализировать фискальный статус
Actualizing Fiscal Status,Актуализация фискального статуса
Amount (eFactura Currency),Сумма (валюта eFactura)
Apps,Приложения
Available Qty In Stock UOM,Доступное количество в складской ЕИ
Bank account,Банковский счёт
Bank code,Банковский код
Bank name,Название банка
Both Issue Date and Delivery Date are required.,Дата выписки и дата поставки обязательны.
Bulk fiscal status failed for {0}.,Массовое обновление фискального статуса не удалось для {0}.
Canceled by Supplier,Отменена поставщиком
Archived,Архивная
Company IDNO field,Поле IDNO компании
Confirm Cancellation,Подтвердить аннулирование
Connections,Подключения
Currency (MDL),Валюта (MDL)
Customer IDNO field,Поле IDNO клиента
Customer Party,Сторона клиента
Customer Party Type,Тип стороны клиента
Dates can be updated only for submitted documents.,Даты можно изменять только у проведённых документов.
Dates can be updated only in Pending Registration status.,Даты можно изменять только в статусе «Ожидает регистрации».
Dates updated successfully.,Даты успешно обновлены.
Sent unsigned invoice to e-Factura (draft).,Неподписанная фактура отправлена в e-Factura (черновик).
Sent signed invoice to e-Factura.,Подписанная фактура отправлена в e-Factura.
Issue Date / Delivery Date updated: {0} / {1} → {2} / {3},Дата выписки / дата поставки изменены: {0} / {1} → {2} / {3}
Assigned series and number {0}{1} from e-Factura.,Присвоены серия и номер {0}{1} из e-Factura.
Assigned series and number {0}{1} for signing.,Присвоены серия и номер {0}{1} для подписи.
Status changed: {0} → {1},Статус изменён: {0} → {1}
Accepted invoice in e-Factura.,Фактура принята в e-Factura.
Rejected invoice in e-Factura: {0},Фактура отклонена в e-Factura: {0}
Signed invoice in e-Factura (buyer).,Фактура подписана в e-Factura (покупатель).
Fetched invoice details from e-Factura.,Реквизиты фактуры загружены из e-Factura.
Linked Purchase Invoice {0}.,Связан счёт закупки {0}.
Download XML,Скачать XML
Failed to register unsigned XML in e-Factura system.,Не удалось зарегистрировать неподписанный XML в системе e-Factura.
Fiscal Territory,Фискальная территория
Fiscal status can be actualized only for submitted invoices.,Фискальный статус можно обновлять только у проведённых счетов.
Fiscal status updated for {0} invoices.,Фискальный статус обновлён для {0} счетов.
Fiscal status updated to {0}.,Фискальный статус обновлён на {0}.
Fiscal status updated.,Фискальный статус обновлён.
Fiscalization,Фискализация
Fiscalization {0},Фискализация: {0}
Partial,Частичная
Not Required,Не требуется
Completed,Завершена
In Progress,В работе
Pending,Ожидает
Frappe School,Школа Frappe
Frappe Support,Поддержка Frappe
IDNO,IDNO
If the company is registered as an user of the e-Factura system and is able to accept e-Factura electronic invoices.,Если компания зарегистрирована как пользователь системы e-Factura и может принимать электронные счета e-Factura.
Invalid base64 payload.,Некорректный base64 payload.
Is VAT included in Rate?,НДС включён в ставку?
Is eFactura User,Пользователь eFactura
Language (Romanian),Язык (румынский)
Last Status Check,Последняя проверка статуса
Log out,Выйти
Missing content.,Отсутствует содержимое.
Missing eFactura document name.,Отсутствует имя документа eFactura.
Missing signature.,Отсутствует подпись.
Moldova eFactura,eFactura Молдова
Net Amount (eFactura Currency),Сумма нетто (валюта eFactura)
Net Rate (eFactura Currency),Ставка нетто (валюта eFactura)
Net Total (eFactura Currency),Итого нетто (валюта eFactura)
Non-Transfer,Непередаваемый
Pending Registration,Ожидает регистрации
Please select a Customer first.,Сначала выберите клиента.
Select Customer first,Сначала выберите клиента
